
code	|	name	|	preferred name	|	taxid
1	|	Natrialba magadii	|	 	|	13769
1	|	Natrinema pallidum	|	 	|	69527
1	|	Natrinema pellirubrum	|	 	|	69525
1	|	Natronobacterium gregoryi	|	 	|	44930
1	|	Natronococcus amylolyticus	|	 	|	44470
1	|	Natronococcus jeotgali	|	 	|	413812
1	|	Natronococcus occultus	|	 	|	29288
1	|	Natronomonas moolapensis	|	 	|	416273
1	|	Natronomonas pharaonis	|	 	|	2257
1	|	Natronorubrum tibetense	|	 	|	63128
1	|	Picrophilus torridus	|	 	|	82076
1	|	Pyrobaculum aerophilum	|	 	|	13773
1	|	Pyrobaculum arsenaticum	|	 	|	121277
1	|	Pyrobaculum calidifontis	|	 	|	181486
1	|	Pyrobaculum islandicum	|	 	|	2277
1	|	Pyrobaculum oguniense	|	 	|	99007
1	|	Pyrococcus abyssi	|	 	|	29292
1	|	Pyrococcus furiosus	|	 	|	2261
1	|	Pyrococcus horikoshii	|	 	|	53953
1	|	Pyrodictium occultum	|	 	|	2309
1	|	Pyrolobus fumarii	|	 	|	54252
1	|	Staphylothermus hellenicus	|	 	|	84599
1	|	Staphylothermus marinus	|	 	|	2280
1	|	Sulfolobus acidocaldarius	|	 	|	2285
1	|	Sulfolobus solfataricus	|	Saccharolobus solfataricus	|	2287
1	|	Sulfolobus tokodaii	|	Sulfurisphaera tokodaii	|	111955
1	|	Thermococcus barophilus	|	 	|	55802
1	|	Thermococcus celericrescens	|	 	|	227598
1	|	Thermococcus chitonophagus	|	 	|	54262
1	|	Thermococcus gammatolerans	|	 	|	187878
1	|	Thermococcus guaymasensis	|	 	|	110164
1	|	Thermococcus kodakarensis	|	 	|	311400
1	|	Thermococcus litoralis	|	 	|	2265
1	|	Thermococcus peptonophilus	|	 	|	53952
1	|	Thermococcus sibiricus	|	 	|	172049
1	|	Thermococcus thioreducens	|	 	|	277988
1	|	Thermofilum pendens	|	 	|	2269
1	|	Thermoplasma acidophilum	|	 	|	2303
1	|	Thermoplasma volcanium	|	 	|	50339
1	|	Thermoproteus tenax	|	 	|	2271
1	|	Thermoproteus uzoniensis	|	 	|	184117
1	|	Thermosphaera aggregans	|	 	|	54254
1	|	Vulcanisaeta distributa	|	 	|	164451
